title,link
How to Train Your Dragon 2,https://www.the-numbers.com/movie/How-to-Train-Your-Dragon-2-(2014)#tab=summary
Rise of the Planet of the Apes,https://www.the-numbers.com/movie/Rise-of-the-Planet-of-the-Apes#tab=summary
Captain America: The First Avenger,https://www.the-numbers.com/movie/Captain-America-The-First-Avenger#tab=summary
The Karate Kid,https://www.the-numbers.com/movie/Karate-Kid-The-(2009)#tab=summary
There's Something About Mary,https://www.the-numbers.com/movie/Theres-Something-About-Mary#tab=summary
Ice Age,https://www.the-numbers.com/movie/Ice-Age#tab=summary
The Bourne Supremacy,https://www.the-numbers.com/movie/Bourne-Supremacy-The#tab=summary
Get Out,https://www.the-numbers.com/movie/Get-Out-(2017)#tab=summary
The Lego Batman Movie,https://www.the-numbers.com/movie/Lego-Batman-Movie-The#tab=summary
Us,https://www.the-numbers.com/movie/Us-(2019)#tab=summary
The Boss Baby,https://www.the-numbers.com/movie/Boss-Baby-The#tab=summary
Crocodile Dundee,https://www.the-numbers.com/movie/Crocodile-Dundee#tab=summary
Elf,https://www.the-numbers.com/movie/Elf#tab=summary
Crazy Rich Asians,https://www.the-numbers.com/movie/Crazy-Rich-Asians-(2018)#tab=summary
The Greatest Showman,https://www.the-numbers.com/movie/Greatest-Showman-The#tab=summary
Fast & Furious Presents: Hobbs & Shaw,https://www.the-numbers.com/movie/Fast-and-Furious-Presents-Hobbs-and-Shaw-(2019)#tab=summary
Apollo 13,https://www.the-numbers.com/movie/Apollo-13#tab=summary
Home Alone 2: Lost in New York,https://www.the-numbers.com/movie/Home-Alone-2-Lost-in-New-York#tab=summary
The Matrix,https://www.the-numbers.com/movie/Matrix-The#tab=summary
National Treasure,https://www.the-numbers.com/movie/National-Treasure#tab=summary
Air Force One,https://www.the-numbers.com/movie/Air-Force-One#tab=summary
Rain Man,https://www.the-numbers.com/movie/Rain-Man#tab=summary
Pirates of the Caribbean: Dead Men Tell No Tales,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Men-Tell-No-Tales#tab=summary
Tron: Legacy,https://www.the-numbers.com/movie/Tron-Legacy#tab=summary
Mary Poppins Returns,https://www.the-numbers.com/movie/Mary-Poppins-Returns-(2018)#tab=summary
True Grit,https://www.the-numbers.com/movie/True-Grit-(2010)#tab=summary
Tarzan,https://www.the-numbers.com/movie/Tarzan#tab=summary
John Wick: Chapter 3 â Parabellum,https://www.the-numbers.com/movie/John-Wick-Chapter-3-Parabellum-(2019)#tab=summary
A Beautiful Mind,https://www.the-numbers.com/movie/Beautiful-Mind-A#tab=summary
Chicago,https://www.the-numbers.com/movie/Chicago#tab=summary
